"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"OSHW-Logo2_9.8x8mm_SilkScreen";1;"OSHW-Logo2_9.8x8mm_SilkScreen";;;
2;"J3";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
3;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"160";;;
4;"D9";"PinHeader_1x02_P2.54mm_Vertical";1;"LED";;;
5;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_SPST";;;
6;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Barrel_Jack";;;
7;"D8,D7,D6,D5,D4,D3,D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";8;"1N4004";;;
8;"C12,C11,C10,C9,C8,C7";"C_Radial_D6.3mm_H5.0mm_P2.50mm";6;"1uF";;;
9;"U3";"TO-220-3_Vertical";1;"L7805";;;
10;"U2";"TO-220-3_Vertical";1;"L7912";;;
11;"U1";"TO-220-3_Vertical";1;"L7812";;;
12;"J2";"IDC-Header_2x08_P2.54mm_Vertical";1;" ";;;
13;"C4,C6,C5,C3,C2,C1";"CP_Radial_D18.0mm_P7.50mm";6;"3300uF";;;
14;"R2,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"3K3";;;
